Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","0.1uF","C_0402_1005Metric",114.270000,-467.755000,270.000000,bottom
"C3","1uF","C_0402_1005Metric",106.670000,-463.130000,180.000000,bottom
"C4","27pF","C_0402_1005Metric",119.985000,-458.800000,0.000000,bottom
"C5","27pF","C_0402_1005Metric",119.985000,-459.825000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",108.450000,-456.900000,270.000000,bottom
"C7","0.1uF","C_0402_1005Metric",106.445000,-466.070000,180.000000,bottom
"C9","10uF","C_0402_1005Metric",97.915000,-447.800000,180.000000,bottom
"C10","0.1uF","C_0402_1005Metric",98.585000,-456.200000,0.000000,bottom
"C11","100uF","C_1210_3225Metric",97.500000,-452.600000,270.000000,bottom
"C12","1uF","C_0402_1005Metric",106.450000,-465.050000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",119.960000,-462.880000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",106.675000,-462.110000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",119.960000,-461.850000,0.000000,bottom
"C16","0.1uF","C_0402_1005Metric",114.070000,-455.815000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",109.580000,-467.685000,270.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric",116.700000,-388.300000,180.000000,bottom
"IC1","RP2040","RP2040-QFN-56",112.807500,-462.040000,270.000000,bottom
"IC2","W25Q128JVSIM","SOIC127P790X216-8N",98.800000,-459.595000,180.000000,bottom
"J32","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",111.630000,-367.900000,0.000000,bottom
"R1","27.4","R_0402_1005Metric",114.500000,-450.115000,90.000000,bottom
"R2","27.4","R_0402_1005Metric",115.600000,-450.115000,90.000000,bottom
"R3","10k","R_0402_1005Metric",106.400000,-456.885000,270.000000,bottom
"R4","5.1K","R_0402_1005Metric",117.345000,-468.450000,0.000000,bottom
"R6","1k","R_0402_1005Metric",119.960000,-460.850000,0.000000,bottom
"R7","10K","R_0402_1005Metric",107.430000,-456.900000,90.000000,bottom
"R8","5.1k","R_0402_1005Metric",107.900000,-372.695000,90.000000,bottom
"R9","5.1k","R_0402_1005Metric",106.900000,-372.695000,270.000000,bottom
"U1","AMS1117-3.3_SOT223","SOT229P700X180-4N",104.950000,-451.500000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",124.350000,-462.175000,90.000000,bottom
