Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,10uF,C_0402_1005Metric,170.09,-419.04,180,bottom
C18,100uF,C_1210_3225Metric,164.08,-426.43,180,bottom
C19,0.1uF,C_0402_1005Metric,165.535,-456,0,bottom
C20,1uF,C_0402_1005Metric,167.585,-458.45,180,bottom
C21,27pF,C_0402_1005Metric,182.935,-455.15,0,bottom
C22,27pF,C_0402_1005Metric,182.935,-456.2,0,bottom
C23,0.1uF,C_0402_1005Metric,171,-464.335,270,bottom
C24,1uF,C_0402_1005Metric,167.515,-460.45,180,bottom
C25,0.1uF,C_0402_1005Metric,167.5,-461.9,180,bottom
C26,0.1uF,C_0402_1005Metric,167.585,-457.45,180,bottom
C27,0.1uF,C_0402_1005Metric,169.2,-452.515,90,bottom
C28,0.1uF,C_0402_1005Metric,180.885,-458.25,0,bottom
C29,0.1uF,C_0402_1005Metric,180.885,-457.225,0,bottom
C31,0.1uF,C_0402_1005Metric,176.488,-464.315,270,bottom
C32,0.1uF,C_0402_1005Metric,175.675,-450.51,90,bottom
F2,Polyfuse,Fuse_1206_3216Metric,172.525,-388.275,90,bottom
IC3,RP2040,QFN40P700X700X90-57N-D,174.4,-457,270,bottom
IC4,W25Q128JVSIM,SOIC127P790X216-8N,163,-461.7,90,bottom
J37,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,172.275,-372.05,0,bottom
R5,5.1K,R_0402_1005Metric,165.34,-423.79,180,bottom
R10,5.1k,R_0402_1005Metric,179.495,-372.73,0,bottom
R11,5.1k,R_0402_1005Metric,179.5,-373.71,180,bottom
R12,10k,R_0402_1005Metric,167.535,-463.95,180,bottom
R13,10K,R_0402_1005Metric,167.515,-462.95,0,bottom
R14,27.4,R_0402_1005Metric,171.325,-445.61,90,bottom
R15,27.4,R_0402_1005Metric,170.275,-445.6,90,bottom
R16,1k,R_0402_1005Metric,180.885,-456.2,0,bottom
U2,AMS1117-3.3_SOT223,SOT229P700X180-4N,171.85,-424.925,0,bottom
Y2,ABLS-12.000MHZ-B4-T,HC%2f49US-(AT49)_1,186.3,-455.525,90,bottom
